,Radius,Density,Uncertainty
121,1.2051417926020858,6197125.770825924,2342293.3761421214
122,1.2153018314700768,8577395.515275044,3241950.775722641
123,1.2289818215263866,3718304.6844802303,1405387.0705573112
124,1.2405157324463962,15498237.500556823,5857783.169469803
125,1.2493840909176597,5771541.662923831,2181437.7030778043
126,1.2607378451941624,7420255.617602831,2804593.004101012
127,1.2710471031702224,6656663.839301182,2515982.44002105
128,1.283803233669524,4778150.550549882,1805971.1547973352
129,1.2975080272573953,5432234.795859952,2053191.7618795938
130,1.3116058489587157,3785435.7762540053,1430760.23828212
131,1.3246727226914958,6223593.50021571,2352297.2375326827
132,1.335932493171648,5461289.232996195,2064173.3069003734
133,1.3489637613865757,4500151.842026903,1700897.5194332015
134,1.3623043199078098,4992367.124128415,1886937.4091397878
135,1.3734448735819362,6297638.677132423,2380283.683804883
136,1.3808752466836334,11932077.13238108,4509901.245245866
137,1.3905379764904744,4215826.110764383,1593432.4942536
138,1.4039644844646568,4660575.028333172,1761531.7845039116
139,1.4141081091103698,7569691.533358357,2861074.4712482006
140,1.4249828172300942,4054526.8698575436,1532467.111667458
141,1.4393622962351238,3815656.251744239,1442182.5043748745
142,1.4511046520423134,6249783.92447605,2362196.28743613
143,1.4632510524517393,3085662.256799516,1166270.7087756917
144,1.4743871861775562,7854797.620194959,2968834.44311112
145,1.483736284710344,4425096.864343871,1672529.4043465152
146,1.493138409179092,7541013.477010246,2850235.184793658
147,1.502081718418192,4678247.364275877,1768211.2996453382
148,1.5133156500094493,3849939.955840915,1455140.526526579
149,1.5242331349574987,4820940.815977798,1822144.354919722
150,1.535526520035524,4021515.90330558,1519990.1390911199
151,1.5490855110825188,3246755.9176782295,1227158.389414842
152,1.5582980920667864,11841345.929420106,4475608.073933228
153,1.5654053049002012,4433472.390010869,1675695.0554914172
154,1.5735791322751005,8257975.452940261,3121221.3401937
155,1.5811646936641914,4883768.434934027,1845890.9628089378
156,1.5944401303498426,2675473.676081672,1011233.9980302689
157,1.6130837443875266,1949523.661113267,736850.6831916953
158,1.6308060706456948,2867322.9745083745,1083746.2170073076
159,1.6472371591599504,2116564.5968420724,799986.2224354014
160,1.6640472051027377,2623189.9887105636,991472.6216860688
161,1.6803372972885076,2163982.0359078506,817908.3298033454
162,1.6925911006707655,5128122.912280682,1938248.2740667113
163,1.7037459212579735,2771803.653238291,1047643.3070812614
164,1.7217381388710211,1813904.6655311843,685591.5209964726
165,1.7406359578395845,2359139.735882936,891671.0070281214
166,1.7641426486917164,1210443.0008385282,457504.4509196419
167,1.783058469631007,5178540.60199055,1957304.3695882445
168,1.804129308490466,1015244.9962110803,383726.5399681759
169,1.8376355513104656,1076124.1388293148,406736.69302513043
170,1.8608961539498123,2293073.4907498057,866700.3135026793
171,1.878270003058589,1632195.9407109257,616912.0785786049
172,1.8975436642215393,1750078.0021170985,661467.3097952304
173,1.9161309077556299,1683048.2859879155,636132.4584625056
174,1.9347118870600408,1471584.483026389,556206.6536156252
175,1.9480797723733172,3663235.578047617,1384572.9047654194
176,1.9662411084866875,1072173.932939418,405243.6555376776
177,1.9904234436543322,1436117.9741826144,542801.5732910108
178,2.009423925596778,1630552.0756608434,616290.7559912523
179,2.033036526225687,947696.0835369109,358195.4507869371
180,2.059242726702178,1199425.9187911882,453340.3853095196
181,2.0807214777755965,1329216.6908433563,502396.68606967805
182,2.0970964041055344,2093780.6145041317,791374.68655799
183,2.115510424668429,1069451.6637947266,404214.7345150151
184,2.135739193075473,1567123.1228147927,592316.8652552676
185,2.152126166380415,1313124.494103351,496314.4074092811
186,2.170563539555524,1211132.2978977256,457764.9807193682
187,2.1947369948465734,859287.3882920635,324780.104879285
188,2.2261801192968593,671225.2630486467,253699.30281866167
189,2.253534231453796,1150947.6320337793,435017.31520286534
190,2.277763687328914,781194.7293149526,295263.854183112
191,2.3107832442548926,580395.4923299904,219368.87639543577
192,2.3444594800471465,613001.7517613538,231692.8840582132
193,2.3697228503042007,1002725.789934044,378994.724765182
194,2.3889529633245874,1137688.2274154883,430005.7313238969
195,2.4221021384844654,408158.2469716757,154269.31672101942
196,2.4535541442329927,1331602.967706718,503298.61394679267
197,2.4709890453174683,811409.5133644452,306683.96911346604
198,2.5070775480924374,356380.8899667099,134699.3152668269
199,2.544388200720748,784187.3690208115,296394.9656724434
