Halo Number,DataPoints,Virial Radius,NFW Scale Density,NFW Scale Radius,NFW Scale Density Uncertainty,NFW Scale Radius Uncertainty,NFW ChiSquare,NFW P-Value,Einasto Scale Density,Einasto Scale Radius,Einasto Scale Density Uncertainty,Einasto Scale Radius Uncertainty,Einasto ChiSquare,Einasto P-Value
170,51,18.81701448735412,55108826.83876507,2.217179383389424,10593499.38900032,0.17471244516760412,2068.978539028544,0.0,39620.38716534809,23.164779706583527,9285.991418446038,2.239350771523999,2843.1988079113244,0.0
171,51,21.6359802694339,103418823.74999718,1.6634896190341075,12059202.293817237,0.07693693709953327,667.5840462656809,3.39769187428387e-111,74556.77868683447,17.429713538686986,10599.760850663039,0.9755651728566853,1060.4842871960577,4.214988915642834e-192
172,51,15.269120524744128,217413209.1235272,1.0671670177410153,86456449.37262866,0.16646112906458832,6705.499425448304,0.0,193616.25923478,10.30731763790749,72820.31519217268,1.486734676770417,6903.919947034883,0.0
176,51,19.661400515854936,60353356.29731112,1.9865085281849533,10558062.082073651,0.14061338465185663,1381.0696978005221,1.8676514643329416e-258,46129.45345126967,20.297998111301155,9098.805320444264,1.6182046230587543,1760.3697764252624,0.0
177,51,21.54399734574863,26990648.87463255,2.8021578688475985,3119391.0181119195,0.13418956880466865,612.5798346580048,1.2196579818306668e-100,18545.6995206004,29.93580361559453,3086.7330231225696,2.0891626433872097,1116.5910218635577,1.7094419277016386e-204
178,51,17.994767197809004,178911749.43087268,1.1468700108607763,49433912.43276245,0.12401608600686362,2731.6991154831526,0.0,141640.16128933086,11.569588011781518,40292.93114527132,1.2639687658398289,3183.2582654718694,0.0
182,51,18.974546911901296,102874332.58282438,1.4226527755096596,13375555.694844553,0.07325094211805921,514.6071141961969,1.5933690460983844e-81,72443.08289174318,15.031499463748336,11712.385418683529,0.9553165413556801,836.7773745626487,4.605146995080737e-147
184,51,19.864763583228417,94337327.15590781,1.7663000512643128,11436278.464001188,0.08584428204313384,732.0617577233309,1.0283883959291988e-123,68934.49270339831,18.406981379059015,9893.891029543955,1.0562566620343803,1059.2879060838222,3.611925324679419e-191
185,51,20.03321803515284,105428653.3095979,1.5040239150010506,11532305.547737462,0.06517727131765425,429.73692744783875,9.716319815084023e-64,72421.21367774656,16.078206115192838,9614.357639603139,0.8403662447205477,677.0529417775033,4.0661270726148484e-113
187,51,23.578729616780173,86525715.08965842,1.7103641783700427,7033863.395509977,0.05501010204060847,241.33023576653432,8.301974528526917e-30,55534.53266584357,18.81440182518459,5722.22902615136,0.7640232900497692,411.2417459720281,4.162940212774445e-62
189,51,12.267479327453405,567152488.6853722,0.6912380032482468,160737597.17391223,0.07600570415576277,2341.127466993612,0.0,448550.69696339744,7.009584160620109,123514.36024299257,0.7308627108434278,2565.809934013917,0.0
190,51,16.899221172197514,89347730.14571288,1.6895380770419026,23573675.981388934,0.179975594152685,3261.851058446016,0.0,71437.77028321815,16.904204700809405,20263.827168551346,1.9281072562354669,3818.8227648982156,0.0
191,51,12.16533931159706,158383446.52878287,1.3545155066892591,56083001.19193019,0.19498425093574573,5790.165459217636,0.0,131020.49158070801,13.3124517106938,49858.631247865735,2.0528702565303805,6511.732694749678,0.0
193,51,15.854527550413067,301673814.9596571,1.046131027969527,87790250.1224938,0.11929851276389593,3614.8977453911743,0.0,248234.9826096906,10.471764445430031,64849.3695367567,1.0502921017864117,3544.357548679396,0.0
194,51,8.063725202538533,614218617.649465,0.7848290676518614,241653667.15561977,0.1239712936118286,6591.577421816578,0.0,518064.9631253294,7.63914927083001,216689.258308732,1.2715495139574087,7327.948360038561,0.0
196,51,14.576873647005211,427537833.2831298,0.8445702107966531,203592187.4626534,0.15576768671899796,10510.57981761629,0.0,403320.69317194435,8.109476600736125,162496.79680375496,1.2246485110414436,9905.480558637915,0.0
197,51,13.418451030087532,337879636.73298705,1.0869339200245196,98398002.90846145,0.12571979296205338,4351.38634218151,0.0,275017.60722774506,10.866216127588707,76709.70069080844,1.1893306938045425,4533.042175567136,0.0
198,51,16.25604983784713,509409291.27047,0.8296121561985931,204931600.26122543,0.1286383227224652,7687.736126643205,0.0,456044.3853783248,8.1575830596737,148107.08932230508,0.9859930068519563,6903.682685387716,0.0
